,null_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.09274331413804549,0.019888004736048976,0.35742319548979873,0.39530376773586406,0.3912635909919693,R
1,0.7837551858851408,0.8162285552884648,0.6352711273172117,0.46228845613404757,0.6293178386509414,M
2,0.19745903547233074,0.4888600003987471,0.46294392395782175,0.07061647738520885,0.19329483441150883,R
3,0.21273063197910191,0.38235814528257145,0.06229484354478319,0.5367556079877109,0.2861492482648385,R
4,0.2814641703842475,0.06104609319493605,0.43971404613114223,0.48040777431850434,0.20384422904341434,R
5,0.8667460404966444,0.6798712400657339,0.9128524797979999,0.5049135962190068,0.9115738850662448,M
6,0.5383415676821903,0.45450443018631925,0.7719519324973955,0.8940837168835382,0.7789402368505458,M
7,0.6467501018019606,0.9769089794658052,0.958521223759464,0.42937806268811846,0.7573872832340796,M
8,0.267106251626675,0.4609818130337764,0.30732977592095495,0.5286886191173854,0.5313569917790086,R
9,0.41783324570306063,0.42329262733024264,0.6575599128869727,0.9613482362681667,0.5323469278010602,M
10,0.6963980728621537,0.6572484961260121,0.7362922713095273,0.4158512900852524,0.5479406260785686,M
11,0.8339827004318277,0.5378676192426848,0.6914946331232776,0.914449978136461,0.9334663096904576,M
12,0.906777875334907,0.615165684759976,0.6573464966830664,0.9907702234491456,0.4425206278500445,M
13,0.5265012521696396,0.8021283056391995,0.5940698182709372,0.6611994293713188,0.6473697411917142,M
14,0.7058339752434303,0.43116593085376975,0.9789383187135989,0.49028966555315934,0.8633617130711417,M
15,0.14272945800451053,0.3009252823272865,0.5430923117318038,0.12138812827807342,0.16978713273073662,R
16,0.20658526071038769,0.5007083006234317,0.5576809354974629,0.5237294352190384,0.08278075540714089,R
17,0.017959984921791627,0.5342991050301661,0.24458044167449625,0.2118399397166991,0.3233770122448548,R
18,0.05884577086677507,0.03814840736507097,0.41492045689796814,0.38455818953218407,0.1800422020555318,R
19,0.1232101169107641,0.446681744701983,0.1381046620116021,0.17384022274524358,0.002293136555116786,R
20,0.5517771711276516,0.04247491425500781,0.16258139415230594,0.5525890188137662,0.17735993123637558,R
21,0.42900394519263924,0.3741450144204361,0.15192672453942055,0.21292053522362506,0.5143109732027485,R
22,0.7225263880298762,0.8155919108116639,0.565772621456073,0.6371298014966796,0.5336663875189889,M
23,0.7097926307238784,0.9799936260598274,0.567815493145082,0.44414561910182304,0.9144869720697844,M
24,0.5330555528067344,0.37028611341510614,0.01634490852160279,0.25970582793199404,0.17203560274711766,R
25,0.6842226551740227,0.7788947029939887,0.41910014451951394,0.5666023819912227,0.9986552101182145,M
26,0.5040650649940643,0.21896324316221535,0.5690949214310261,0.37850051074424945,0.45612555637791163,R
27,0.2962475876693472,0.09990123424284726,0.033232975186382005,0.15756151792026377,0.5101329730912989,R
28,0.10479583228458947,0.36231590426200017,0.3780351555810908,0.018883320651099073,0.5613971474017063,R
29,0.5203174700919363,0.9116981209965977,0.6011387415915487,0.8201855399323676,0.6478617630602123,M
30,0.1830574377949257,0.3930934306843816,0.06870816404390337,0.2704239877914944,0.35960795667818135,R
31,0.44649333695775895,0.8732607180038349,0.7831097919858645,0.9356520828880248,0.6528280646044992,M
32,0.817411054028959,0.9476270503698219,0.7395093476366377,0.8102655162995501,0.6820566187831311,M
33,0.5821023273352794,0.7932249959908548,0.9765326180880338,0.6462514920647376,0.6009945626032303,M
34,0.70279738578268,0.752985158652904,0.7799130369514602,0.6714838013263769,0.49245956304137917,M
35,0.47795396992264105,0.8819208958229089,0.9550017365709575,0.5404469488214664,0.7438214281651216,M
36,0.732456570039835,0.8891132168325453,0.6946156993964796,0.9181301090149907,0.4870059461296624,M
37,0.06133407227194901,0.21845867635289318,0.08929907686013515,0.007306083565414605,0.03829968070835077,R
38,0.451997980673884,0.3644664257825344,0.28817914524622457,0.3828743291351169,0.42000974177064654,R
39,0.43852741081828567,0.9092252376941704,0.524345309055459,0.9842973797747272,0.655977751110223,M
40,0.837282594989647,0.867438329703655,0.7475653557245715,0.5953012845900676,0.5272432551362778,M
41,0.5552765633011524,0.435111541569875,0.16107218199997836,0.505506019382321,0.04348046385936185,R
42,0.9035600483333026,0.9736497523088976,0.9633195843991254,0.42493374328762484,0.9661281742156322,M
43,0.7520007965878845,0.6232714399931101,0.7628997172074419,0.6060571090384999,0.9342522616877122,M
44,0.48005318264082947,0.6668455599268717,0.5749474316524564,0.4917372630949108,0.9565581232594413,M
45,0.8490334151332851,0.8261160616015202,0.6420990516648744,0.9090909644758538,0.8592371333734423,M
46,0.5707860027533845,0.5039304749259755,0.5938357447635473,0.6893591834766886,0.5535715569084948,M
47,0.8969992140429268,0.7454198978381774,0.8357553874807808,0.7985384998151723,0.6285596564243723,M
48,0.5534708768985085,0.4909332751595697,0.2528226354520016,0.5634895998863999,0.40772250225957474,R
49,0.20740820925700634,0.13297947433434082,0.04783473506891877,0.07148328895169893,0.2656441299754489,R
50,0.47424118617990246,0.3532724735900401,0.49398001073351255,0.4124237958770104,0.5209082819063012,R
51,0.8711490526298342,0.7782537855899405,0.5976561490058118,0.9261811364811732,0.9307219523212993,M
52,0.7038174297150788,0.7606787055041636,0.8378142685639707,0.756643242572741,0.853832362985304,M
53,0.8944893245933401,0.4906824177315267,0.434365520455398,0.9048726155876892,0.4718165240276583,M
54,0.8907279425075244,0.8957726292345702,0.8981008350781106,0.9259104769172581,0.43579370388595473,M
55,0.4561219734799125,0.35182223511355365,0.24743007634013411,0.5690092319978828,0.5407958058240384,R
56,0.46027349878151735,0.22143801334247407,0.14296979920291497,0.08677812265711335,0.1576716615858237,R
