,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.21857693075479764,0.20637095614994658,0.13950749103637874,0.20361093899085456,0.005541599631913135,R
1,0.035720727235969044,0.1628189478774609,0.15385930257109523,0.3243585615635066,0.28591945132092655,R
2,0.9079810435228104,0.9872930908853552,0.82272768943126,0.7725443301986498,0.7798879752262773,M
3,0.7545526163918466,0.8081468098713758,0.6908475184503668,0.7251734986064047,0.8234314354816437,M
4,0.4031987665480829,0.5302610746444479,0.27635510066277374,0.39673151412281815,0.0018823330399195743,R
5,0.4642110520363495,0.5702430656453693,0.8238176441082601,0.5019376603237693,0.9240727971490486,M
6,0.00983444248534212,0.2057925001140367,0.4122315168066217,0.13223259970804485,0.24428363447423895,R
7,0.3267989719044557,0.09846466831924565,0.08021572822122436,0.3052895983639272,0.293744625914009,R
8,0.5598469807678628,0.8397636839543474,0.7101027730395981,0.48669016850609426,0.8927870352085501,M
9,0.18925299188772493,0.47303912152877436,0.09602181600178182,0.39367005901856195,0.44295496837654763,R
10,0.48513774405940213,0.92681521986267,0.8147609543040397,0.48354296692801085,0.6987611002464935,M
11,0.49594230972850395,0.8296368122154345,0.7599039824448217,0.7976434441057075,0.5563012954363554,M
12,0.9027258303078722,0.8194782092339621,0.47838774446595345,0.44410295247179826,0.5382915502100538,M
13,0.3971882043148475,0.30963611090157683,0.03225699276156677,0.5320432530584577,0.030914112152916607,R
14,0.8644402369793103,0.7045849339035453,0.6526378872256322,0.5709356244432058,0.47810687211791525,M
15,0.8824853212120953,0.42279018171455646,0.4640804806225878,0.7641175643506564,0.9755384796682558,M
16,0.7839231240460891,0.8731051945544464,0.8255772578704994,0.7727303180163936,0.932586383056736,M
17,0.5425381189609125,0.4791264835643947,0.006398912802868991,0.012548969276072602,0.43454083166591007,R
18,0.9469936908301682,0.47326506453843553,0.6062878417101332,0.6635550970968089,0.7568397383545048,M
19,0.9207293776485181,0.49748687911957834,0.7412366846778139,0.5789281788324538,0.9419760644026081,M
20,0.43286092903656653,0.022760839655786607,0.043617327642719916,0.5174560574144117,0.3577297761485778,R
21,0.972941192917089,0.7991957572347597,0.47620456892756474,0.7126048143036255,0.9985670342845006,M
22,0.632666974621794,0.944610655958122,0.4149085697903184,0.43770445700573524,0.8247525550411388,M
23,0.9968630259864935,0.4302550617883726,0.6860597017217666,0.7812083422220147,0.5053777594088009,M
24,0.1879236514129467,0.41994695262276616,0.2255235046852047,0.2019590487395263,0.26339334298758527,R
25,0.4432755729758226,0.5023925699871173,0.27445636452576627,0.22127639261909887,0.4960448112308094,R
26,0.47354169492345033,0.3270501697312744,0.08098898532670978,0.286213693833934,0.2362921665511979,R
27,0.5392058075441051,0.009573542101966063,0.4485107834344111,0.21580546512509424,0.23410725654153886,R
28,0.5721449229921516,0.5719641282985466,0.6614123869769196,0.48350253937258714,0.644961648321732,M
29,0.419820206628463,0.19916262130805043,0.5029586219099674,0.29072173546836017,0.5348994743468174,R
30,0.8772637778751924,0.8954088341040425,0.7242283783782923,0.9019907292856453,0.5863876747777206,M
31,0.7763786818923013,0.7146013655948489,0.6108496795524092,0.7762454802535774,0.7955041081898075,M
32,0.5505259491127898,0.4442891630180836,0.7381461973307328,0.7741205203198326,0.5579620394050695,M
33,0.026555458566722916,0.4488142201297286,0.45753082762585406,0.517687737829125,0.3535376360716555,R
34,0.4231066599639596,0.586832351490641,0.5381424690323603,0.5617187269598609,0.8485258441376785,M
35,0.5907915437290217,0.4590490884391443,0.4850643535610624,0.6587484336956364,0.5238821622323554,M
36,0.5347563215056783,0.09110592042238413,0.17420922714691553,0.47426823308429006,0.30012241480240703,R
37,0.5683667894894425,0.8221991028724571,0.44977853914942334,0.7965813092133597,0.6130179546548499,M
38,0.12954576866966536,0.31303421459552,0.33184708599498164,0.20947333692423994,0.299044350478817,R
39,0.19282346745039644,0.22173146351300815,0.5413617407377962,0.3638289971159073,0.13363560480254688,R
40,0.18993113023191224,0.4288506783064665,0.2927618079333763,0.19504275377949304,0.5161845140749871,R
41,0.21658713996968773,0.07493090298870876,0.1714372162803534,0.533745822045252,0.48962978284220326,R
42,0.5527760791456713,0.6103189230686068,0.6534465021194453,0.5413559272189388,0.7027905533963973,M
43,0.9569457323651942,0.4973347615834493,0.7897943039514921,0.45755924781984847,0.9067901637368763,M
44,0.43531406497388864,0.6820191137418241,0.9475848672658098,0.7357276565599176,0.563788576065011,M
45,0.11667688906642588,0.21513075342887272,0.42587204924459166,0.43664235437595306,0.32923501695464125,R
46,0.5069780472336544,0.6006671610029395,0.41640658561252264,0.609357449553438,0.7511182897884021,M
47,0.46972519718290046,0.1655259566049356,0.49600195868542446,0.5250330779703718,0.1469252116506176,R
48,0.38204554799570345,0.12020885682309713,0.108257012354038,0.4499578112925931,0.13908685880545746,R
49,0.35694685625350425,0.02602554796727035,0.1804866444129392,0.549765359091989,0.53205499410795,R
50,0.4477232086029201,0.9862035153612785,0.6899913795588374,0.6899365877174803,0.5833956493385595,M
51,0.7763628409282481,0.6607709579024011,0.8594128699493115,0.5521620736359618,0.7276175078482301,M
52,0.36948013741843516,0.36367303843157145,0.4478859545379741,0.029647389644729457,0.3758137096346801,R
53,0.3372224715717139,0.3844249881589441,0.4957583222118844,0.03275712126228231,0.19393453097812235,R
54,0.2043643249209659,0.06378528918740718,0.40869062129544026,0.23521011102201364,0.25930171010777714,R
55,0.08216649735442598,0.28433416317398363,0.1233604238497414,0.09353259169024489,0.321132502016696,R
56,0.6615636349634187,0.760363041889262,0.8303002930116797,0.8014632840285439,0.674124704676994,M
